roster_date,RFP_Key,RFP_Name,RFP_Type,RFP_Group,RFP_Location,Name,Address,City,State,Zip,Phone,RFP_Primary,program_flag,payment_flag,program_date,active_quarters,base_active_quarters,SAP,Location_EndDate,Location_StartDate,Eligibility_EndDate,Eligibility_StartDate,Startdate,Enddate
09/24/2024,SCG388278,ABB,GPO,22269937,6479610,Craig Ltd,401 Cassandra Station Suite 945,West Keithtown,New Mexico,79647,609-610-1069x27327,0,Pref_RRPE,,06/24/2020,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG214675,myAPP,Lease Franchise,34148873,6105994,"Petty, Jackson and Adkins",63064 Smith Corner,Wallsmouth,Louisiana,95719,692-992-5842x627,1,Pref_RRPE,,12/06/2021,7,3,9570156,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG598038,STER,Regional Retailer,3105405,6105994,"Holt, Barton and Collins",15742 Kim Fort Apt. 710,West Katherine,Illinois,90740,(532)558-3491,1,Pref_RRPE,,,,3,7307374,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG816664,EEC,GPO,1,6305509,"Smith, Morgan and Perez",84301 Rodriguez Isle Suite 803,New Amber,California,62520,834-386-9112,1,Preferred,1,,,3,8707018,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG854177,EGW,GPO,60593851,6105994,Baker LLC,3962 Lambert Mill,Yorkside,Kentucky,91179,272-235-4988,0,Preferred,,,,3,6674795,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG209248,TSO,Lease Franchise,39788309,6495265,"Ellis, Smith and Sullivan",83967 Timothy Burgs,Aliciaborough,Iowa,70836,928-441-3830,1,Pref_RRPE,,,,3,6962073,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG569932,EGW,myAPP,1,7101048,Bradley-Mann,9995 Jeanne Ville Apt. 231,New Jaimechester,Iowa,21818,001-653-350-7988,0,Pref_RRPE,,,,1,8995864,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG169548,BOG,myAPP,83319808,7593333,"Mcintyre, Robbins and Garrett",5181 Sara Expressway Suite 429,Kimberlyburgh,Ohio,94692,+1-354-629-5935,1,Preferred,,,,3,8452840,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG127112,BOG,myAPP,68211302,9134898,Reeves-Williams,8547 Bryan Burg,Audreyport,West Virginia,49906,832.754.9180x851,1,Pref_RRPE,,07/07/2020,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG434243,LVP,PE,76110455,6163171,"Michael, Moody and Davis",80987 Brown Grove,East Joseph,Vermont,68707,001-361-610-4346x174,1,Preferred,,,,2,8091397,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG893202,TODAY,GPO,9525025,6105994,Stephens LLC,6469 Daniel Pine,Glasschester,California,48525,673.342.4735,1,Pref_RRPE,,,,3,7847813,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG084212,MWEC,Lease Franchise,48743652,6105994,Wright-Pierce,4065 Clark Road,Debbieville,Missouri,4203,001-838-489-5049x017,0,Preferred,,03/10/2020,7,3,6181752,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG007155,PECAA,GPO,1,6750398,Wang-Fields,911 Monroe Square,Chaseport,Oklahoma,38752,486.703.9594x0626,0,Pref_RRPE,,07/17/2020,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG694422,MED,PE,81785680,6105994,Kemp-Hobbs,2767 Miller Mews,Weeksfurt,Alaska,60337,855.423.8518,0,Preferred,,,,1,9090138,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG943042,STANTON,GPO,42825082,6187941,Cobb and Sons,12853 Mcdowell Grove Suite 834,Hillland,Massachusetts,73872,001-569-552-5058,0,Preferred,,12/03/2021,7,3,6603513,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG295403,EYESTH,ACUALL,1,8794307,Zavala-Fisher,8094 Mendez Wells Apt. 676,New Robert,Nevada,80754,001-634-737-3937,0,Preferred,,10/14/2022,7,3,6843994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG478174,KEPLR,Lease Franchise,117457770,7317191,"Rodriguez, Patterson and Curry",72563 Nicholas Camp Suite 705,East Ashley,Florida,30180,001-962-310-2283x717,0,Preferred,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG124720,ADO,myAPP,1,6211421,"Carter, Garrison and Foster",87778 Kevin Row Suite 807,Kennethfurt,South Carolina,74590,(735)673-8619,0,Preferred,,,,1,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG985636,EHA,GPO,20074631,7304176,Mata and Sons,838 Griffin Parkways Suite 179,East Kevin,North Dakota,96834,+1-370-527-0606x686,1,Preferred,,10/10/2022,7,3,6268305,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG312204,VCA,ACUALL,74096521,7601658,Hatfield-Hawkins,95670 Bell Rapid,Lake Brenda,Montana,77617,553.878.5260x919,1,Preferred,,10/03/2023,4,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG590242,OMG,PE,1,7057010,Shea and Sons,0583 Conway Field Suite 471,Port Javiermouth,Wyoming,9062,+1-717-534-4961x8160,1,Preferred,,,,3,6302206,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG784598,CLARIS,PE,80394223,6137434,Knight-Daniels,7346 Rhonda Circle,North Shellyview,Wisconsin,92944,001-550-555-6521x7328,0,Pref_RRPE,,,,2,7240373,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG805424,VT,ACUALL,58792604,6105994,Johnson and Sons,781 Ferguson Rapids,Jeffreymouth,Michigan,84353,907-430-5320,0,Preferred,,,,1,6474759,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG553823,EYESTH,PE,40879109,6105994,Acosta LLC,480 Carol Forge,Annaland,Alabama,21871,317.609.2952x64962,1,Pref_RRPE,,,,3,8058565,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG990451,STANTON,PE,40930172,6206223,"Hammond, Myers and Zimmerman",03633 Hart Stream,West Kristin,Minnesota,31746,+1-717-532-2059x16342,0,Pref_RRPE,,,,3,10046115,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG554130,PV,ACUALL,1,6412252,"Robinson, Lane and Ferguson",590 Brent Crossroad,Richardchester,Oregon,30984,001-461-527-0081x321,0,Pref_RRPE,,01/31/2022,7,1,6274633,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG562130,MED,ACUALL,1,6105994,Smith LLC,1206 Cole Cliff Apt. 707,Port Jacobstad,Mississippi,46988,+1-799-930-2647,1,Preferred,,,,3,7632711,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG400016,ADO,ACUALL,1,6105994,"Moore, Harper and Martinez",85297 Paul Stream Suite 218,Lindseyberg,Michigan,59312,677.681.6680x6310,0,Preferred,,,,1,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG953091,EHA,Regional Retailer,3141650,7571091,Banks Group,26028 Bell Park,Weberport,Georgia,80533,335.357.6754x87954,1,Preferred,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG438683,MANN,GPO,95374899,7652801,"Woods, Nguyen and Vaughn",2972 Beverly Motorway,Justinberg,Washington,7520,273-379-0459,1,Preferred,,,,3,8712237,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG624523,STANTON,myAPP,1,6935358,Walton-Ward,7520 Kim Gateway Suite 204,North Jon,Tennessee,86597,984-334-9320x589,1,Pref_RRPE,,,,3,6893701,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG807168,TSO,Regional Retailer,10238110,6105994,Wilson Ltd,77682 Ali Avenue Suite 035,New Steve,Washington,5408,(711)706-0588,0,Preferred,,,,1,8497993,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG220563,MANN,ACUALL,15296284,6789431,"Crosby, Reynolds and Johnson",34248 Taylor Roads,New Williamland,Indiana,81803,001-938-940-7670x3324,1,Preferred,,03/15/2024,2,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG929929,VT,ACUALL,1,6105994,Ross PLC,92166 William Mews,Collinschester,New Hampshire,40896,4042780042,1,Preferred,,,,3,7537284,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG531768,MWEC,Regional Retailer,1,7968743,Chan-Thomas,5638 Melendez Hills Suite 927,Rosstown,Massachusetts,69092,314-408-2004x17304,0,Pref_RRPE,,,,1,7377570,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG529163,VT,Regional Retailer,103904252,7821623,"Miranda, Estes and Sanders",939 Garcia Island,Boyerfurt,Oregon,76335,(882)641-1614x94427,1,Pref_RRPE,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG074410,SVS,Regional Retailer,71511712,7447232,Wolf-Fowler,68516 Donna Well,Wisechester,Indiana,88661,(750)387-2909x832,0,Preferred,,07/06/2020,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG406623,VT,Regional Retailer,1,8641562,Hansen LLC,05372 Brown Dam,Rickyton,California,63501,+1-392-527-7504,0,Preferred,,,,1,6972303,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG594972,HEA,PE,35846154,8848944,Weber and Sons,331 Davis Hill Apt. 859,Nicholsmouth,Maryland,41814,874.424.9065,0,Preferred,,,,1,6727691,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG180431,LVP,GPO,1,6167254,Acosta and Sons,71900 Danielle Junction Suite 158,Pamelaberg,Missouri,27960,343-376-7657,0,Preferred,,01/20/2021,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG434446,ACUALL,ACUALL,5789734,7603793,"Owens, Sharp and Hopkins",706 Schwartz Groves Suite 274,Pottsland,Hawaii,49131,+1-583-949-9577x6705,1,Preferred,,,,3,6759815,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG093707,PV,GPO,1,6105994,Sanchez-Fisher,83571 Briggs Green Apt. 188,Juliamouth,Ohio,44515,001-423-867-0284x9565,1,Pref_RRPE,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG123688,MERDN,Lease Franchise,2406797,8461584,"Jones, Meyers and Jones",310 Foley Brook Apt. 246,West Melinda,Montana,37962,543.277.8323x925,0,Pref_RRPE,,,,3,8212745,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG265269,HOUSTON,Regional Retailer,21487445,6105994,Baker-Neal,33215 Vanessa Isle,Lake Robert,South Dakota,13964,455.646.3794,0,Pref_RRPE,,09/28/2022,7,3,6814812,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG261058,HAL,Regional Retailer,124352386,6105994,Rich Group,35491 Holly Mountains Suite 330,Port Tyler,Washington,22647,324.209.7636,0,Pref_RRPE,,,,3,8770104,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG418733,BERK,Lease Franchise,1,8362749,Brady and Sons,277 Travis Meadows Apt. 171,Graveschester,New Mexico,20144,460.480.3741,1,Pref_RRPE,,,,3,7939748,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG734779,ACUALL,myAPP,126406852,6379354,Knight and Sons,25567 Barrera Trace Apt. 866,Lake Patrickborough,Mississippi,47608,660.707.7623x35155,0,Pref_RRPE,,,,3,6904292,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG875605,ECP,Regional Retailer,68422441,6105994,"Mckenzie, Petersen and Maynard",5460 Fields Lane,Boonestad,Tennessee,16201,+1-448-450-4708x9215,1,Preferred,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG344699,PV,PE,12352615,10365801,"Rhodes, Estrada and Lewis",51577 Sarah Manors,North Michaelton,Virginia,4438,426.372.0895x5070,0,Preferred,,05/21/2022,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG786657,VCA,myAPP,1,7376638,Jenkins Group,01253 Holly Villages,Cantrellmouth,South Dakota,86522,(844)476-8286x0131,1,Preferred,,,,3,6891078,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG376319,HEA,Regional Retailer,22833422,6640977,"Jones, Kelly and Patton",68648 Ruiz Forges Apt. 280,Phillipsfort,Florida,47617,831.536.8861x54874,0,Preferred,,,,3,8933994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG540628,ESP,ACUALL,1,6105994,Davis and Sons,360 Brooke Crest,Muellerland,Georgia,32380,(941)259-1615x021,0,Pref_RRPE,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG692024,BERK,GPO,15974934,7058550,"Kim, Moore and Johnson",2400 Kevin Pike Suite 978,North Lisa,Idaho,42353,257-553-3662,1,Preferred,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG973125,EYEB,Regional Retailer,65750387,7966788,Boyle-White,568 Carter Circle,Brownstad,Vermont,15723,001-949-689-7356,0,Pref_RRPE,,,,3,6614953,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG881219,SVS,myAPP,1,7845367,"Warren, Cortez and Murphy",04609 Jackson Burgs Apt. 674,West Mitchell,Mississippi,87591,+1-287-733-0628x6539,1,Preferred,,07/09/2020,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG322693,HOUSTON,GPO,1,6105994,"Williams, Martinez and Wagner",91416 Tiffany Heights Apt. 779,Alicebury,Maryland,13863,(738)887-4531x56456,0,Preferred,,04/29/2020,7,3,6983831,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG976279,CECOP,GPO,1,6327757,"Jenkins, Rodriguez and Sosa",3199 Ray Meadow Suite 817,South Amy,Kansas,74890,+1-941-791-7898x95329,0,Pref_RRPE,,,,3,6746571,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG211032,ACUALL,Regional Retailer,1,6259324,"James, Lopez and Butler",17356 Bryan Club,Garcialand,Rhode Island,15393,590.245.4021,0,Preferred,,,,1,7295363,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG628057,STANTON,PE,1,6105994,"Cobb, Cain and Russell",07194 Steve Spur Suite 443,South Jeanbury,Pennsylvania,23330,483.648.5856,0,Preferred,,,,1,7235728,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG896142,BERK,myAPP,39168132,6105994,"Wallace, Ross and Kramer",062 Kevin Manor Apt. 636,South Adam,Georgia,30241,246-463-6713x3132,0,Pref_RRPE,,,,2,6818386,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG951785,myAPP,GPO,1,6105994,"Campbell, Hall and Bullock",4675 Smith Isle Suite 434,Hollymouth,South Dakota,39815,+1-297-604-7123x436,1,Pref_RRPE,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG499527,BERK,ACUALL,835786,6105994,Reyes Ltd,5266 Hayden Drives Suite 515,Smithfort,North Carolina,41272,(311)342-5197x861,0,Preferred,,09/15/2022,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG790429,SIMON,GPO,1,6488096,"Kennedy, Gallagher and Wong",1760 Kayla Estates Suite 859,South Jenniferburgh,Wisconsin,90507,+1-923-985-6831,0,Preferred,,,,3,7148462,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG926068,PECAA,Regional Retailer,6837299,8259663,Myers-Smith,64108 Tyler Place Suite 177,New Debraview,Alabama,74789,472-791-8161,0,Pref_RRPE,,,,3,6779770,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG896552,MED,ACUALL,1,6105994,Simmons and Sons,595 Craig Ridge,East Lisatown,Mississippi,54134,547.971.6363x470,0,Preferred,,,,1,7393294,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG220420,CLARIS,GPO,104855065,6105994,Johnson and Sons,65161 Williams Parks Suite 436,South Randallbury,Rhode Island,6914,001-533-743-6042x32394,1,Pref_RRPE,,,,3,8864625,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG029671,CLARIS,myAPP,105265365,7060207,"Kennedy, Garcia and Miller",23896 Smith Divide Suite 254,Deannamouth,Delaware,22948,001-434-846-4947,1,Pref_RRPE,,,,3,6462791,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG652170,EHA,ACUALL,28101300,6105994,Terry PLC,637 Moody Ways,Williamsside,New Mexico,60817,902-323-9715x58435,1,Pref_RRPE,,,,3,7882101,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG253753,USV,myAPP,1,6180450,"Chavez, White and Wood",10822 William Ranch Apt. 983,Lake Robertfurt,Texas,77677,+1-360-259-3300,1,Preferred,,07/17/2020,7,3,7335028,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG514489,PV,myAPP,90116629,7029966,"Green, Watson and Cox",418 Bates Ramp,Kevinbury,Utah,50420,494-624-2776x79368,1,Preferred,,,,3,7197689,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG204048,EEC,PE,111098791,8170078,Carter Group,274 Orr Fields Apt. 969,Gibbsmouth,New Mexico,54750,530.430.6862x0406,0,Preferred,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG906417,BERK,GPO,1,6105994,Barrera and Sons,59105 Deborah Points Suite 530,Lake Kaylee,Utah,46924,+1-992-731-1088,1,Pref_RRPE,,,,3,6144925,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG443593,myAPP,Lease Franchise,112382670,6105994,"Sanchez, Jones and Greene",23996 Edwards Court,North Gerald,Georgia,43408,(268)601-5176x49767,0,Pref_RRPE,,02/17/2023,5,3,7068762,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG468334,MED,ACUALL,1,6105994,"Green, Mckenzie and Ramirez",18972 Barron Square Suite 909,Patriciafort,Idaho,99455,850.207.2970x770,1,Preferred,,07/16/2020,7,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG832034,USEYE,PE,4296823,6731838,Martinez LLC,70745 Allen Rest Suite 951,Reynoldsborough,Colorado,6310,+1-641-342-6704x043,1,Preferred,,07/23/2020,7,3,9045818,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG674181,USV,Regional Retailer,121522617,8075219,Wolfe-Daniel,159 Thomas Dam,New Ericland,Vermont,24126,758.508.9948x92864,1,Pref_RRPE,,09/07/2023,4,3,7233255,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG804447,TODAY,myAPP,1,8382930,Pope-Ayala,0796 Gonzalez Knolls,New Marco,Kansas,43841,749-978-5388x007,0,Preferred,,,,3,6278287,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG236015,OMG,GPO,1,6897585,"Porter, Wise and Nguyen",3412 Pearson Via Apt. 030,Maysberg,Utah,10945,7423314520,0,Pref_RRPE,,,,1,8050861,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG940171,MED,myAPP,1,6622791,"Clark, Tyler and Garcia",79363 Amy Ramp,Lake Robertton,Florida,83852,(276)380-0288x0384,0,Pref_RRPE,,,,1,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG208714,COHENS,GPO,1,7698616,"Roberts, Molina and Juarez",8483 Katie Via,Port Ashleytown,West Virginia,50053,001-584-713-8412x84354,0,Preferred,,,,1,6628511,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG925845,VH,Lease Franchise,59178754,7422494,"Sullivan, Johnston and Russo",71247 Briggs Route,South Tanyaberg,Indiana,77668,463.964.9429x25565,0,Preferred,,,,1,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG175774,VISFST,Lease Franchise,49890661,6105994,Freeman Ltd,0083 Elizabeth Points,East Allison,New Jersey,73198,326.781.3895x519,1,Pref_RRPE,,08/12/2020,7,3,7881751,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG231165,VISFST,PE,194325199,6105994,Davis LLC,45918 John Mount Apt. 549,Julieton,Nevada,51854,+1-850-893-4131x5119,0,Preferred,,,,1,6890406,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG944037,HAL,ACUALL,1,6105994,Swanson Group,7536 Martinez Inlet,Santosshire,Virginia,60586,+1-335-758-9536x125,0,Preferred,,,,3,6105994,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG004051,PECAA,Lease Franchise,20831280,6105994,Wall-Rodriguez,55614 Gwendolyn Loop,South Stephanieshire,California,27642,001-282-585-1418,1,Preferred,,,,3,6595342,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
